,Stage,Area,Volume
0,11.7,0.0,0.0
1,11.8,500.0,12.27836609
2,11.9,900.0,81.83708191
3,12.0,1300.0,206.0577393
4,12.1,1500.0,348.3259277
5,12.2,1600.0,506.3177185
6,12.3,1800.0,682.3302002
7,12.4,2100.0,879.0078125
8,12.5,2400.0,1110.044434
9,12.6,2900.0,1369.808594
10,12.7,3000.0,1668.728882
11,12.8,3200.0,1973.494873
12,12.9,3400.0,2298.575928
13,13.0,3900.0,2668.038574
14,13.1,3900.0,3058.040039
15,13.2,4000.0,3453.674072
16,13.3,4400.0,3865.704102
17,13.4,4800.0,4332.269531
18,13.5,5100.0,4815.915527
19,13.6,5400.0,5336.993652
20,13.7,6000.0,5892.927246
21,13.8,6500.0,6520.264648
22,13.9,7000.0,7194.735352
23,14.0,7300.0,7909.009277
24,14.1,7700.0,8656.771484
25,14.2,8100.0,9450.295898
26,14.3,8300.0,10270.15234
27,14.4,9100.0,11146.28125
28,14.5,9600.0,12086.59277
29,14.6,9700.0,13048.47266
30,14.7,10200.0,14042.70703
31,14.8,10600.0,15080.84863
32,14.9,11000.0,16166.91504
33,15.0,11500.0,17291.48047
34,15.1,12000.0,18463.1543
35,15.2,12800.0,19699.06836
36,15.3,13200.0,20996.88281
37,15.4,13900.0,22349.63672
38,15.5,14700.0,23767.39648
39,15.6,15400.0,25260.23828
40,15.7,15700.0,26814.14453
41,15.8,16200.0,28420.58984
42,15.9,16700.0,30062.48242
43,16.0,16900.0,31738.04688
44,16.1,17900.0,33475.00781
45,16.2,18600.0,35295.16797
46,16.3,19400.0,37195.625
47,16.4,20200.0,39158.70313
48,16.5,20700.0,41221.15234
49,16.6,21500.0,43339.92188
50,16.7,21900.0,45511.78125
51,16.8,22800.0,47749.25
52,16.9,23700.0,50059.34375
53,17.0,24400.0,52468.80469
54,17.1,25400.0,54961.20313
55,17.2,26100.0,57532.42969
56,17.3,27000.0,60190.53125
57,17.4,27400.0,62906.23047
58,17.5,28600.0,65709.28906
59,17.6,29900.0,68630.07813
60,17.7,31000.0,71671.625
61,17.8,31500.0,74788.46875
62,17.9,32100.0,77969.82813
63,18.0,33300.0,81219.67188
64,18.1,34000.0,84586.74219
65,18.2,35300.0,88068.67188
66,18.3,36000.0,91640.375
67,18.4,37300.0,95310.86719
68,18.5,38400.0,99096.9375
69,18.6,39400.0,102985.2109
70,18.7,40400.0,106963.0391
71,18.8,41400.0,111048.7656
72,18.9,42900.0,115285.1328
73,19.0,43600.0,119610.9297
74,19.1,44100.0,123998.8594
75,19.2,63800.0,128476.1797
76,19.3,91800.0,135268.3594
77,19.4,101700.0,145048.2344
78,19.5,108700.0,155517.875
79,19.6,115000.0,166749.4063
80,19.7,119600.0,178464.0156
81,19.8,124800.0,190682.0625
82,19.9,131200.0,203478.3125
83,20.0,147500.0,216875.75
84,20.1,160400.0,232300.3125
85,20.2,171100.0,248920.4688
86,20.3,184400.0,266689.375
87,20.4,195900.0,285679.0
88,20.5,208200.0,305921.25
89,20.6,223600.0,327569.5938
90,20.7,240800.0,350821.4688
91,20.8,255400.0,375598.4688
92,20.9,271600.0,401994.9688
93,21.0,292900.0,430185.375
94,21.1,351600.0,460785.8438
95,21.2,382200.0,497540.75
96,21.3,411900.0,537297.625
97,21.4,435400.0,579674.5625
98,21.5,454800.0,624238.25
99,21.6,475000.0,670822.3125
100,21.7,492900.0,719231.1875
101,21.8,511900.0,769486.1875
102,21.9,530200.0,821600.6875
103,22.0,549700.0,875591.3125
104,22.1,570300.0,931616.375
105,22.2,589600.0,989564.5625
106,22.3,609200.0,1049436.625
107,22.4,629600.0,1111309.25
108,22.5,650800.0,1175306.375
109,22.6,669300.0,1241337.0
110,22.7,689300.0,1309326.375
111,22.8,708500.0,1379250.0
112,22.9,724900.0,1450930.375
113,23.0,740000.0,1524210.25
114,23.1,753800.0,1598859.625
115,23.2,767100.0,1674917.625
116,23.3,781500.0,1752302.75
117,23.4,794800.0,1831160.125
118,23.5,806600.0,1911233.0
119,23.6,818700.0,1992483.625
120,23.7,830900.0,2074946.875
121,23.8,844000.0,2158618.75
122,23.9,859800.0,2243753.25
123,24.0,872000.0,2330341.25
124,24.1,886600.0,2418289.75
125,24.2,901900.0,2507741.5
126,24.3,919100.0,2598815.75
127,24.4,936700.0,2691625.5
128,24.5,952300.0,2786043.5
129,24.6,965800.0,2881995.5
130,24.7,980200.0,2979312.5
131,24.8,993200.0,3078012.75
132,24.9,1007000.0,3178020.0
133,25.0,1018300.0,3279310.75
134,25.1,1031900.0,3381862.0
135,25.2,1045500.0,3485714.0
136,25.3,1059500.0,3590936.25
137,25.4,1072200.0,3697442.25
