,0
0,-3400.022934252538
1,-3397.8259832180875
2,-3399.775211687686
3,-3399.775492927265
4,-3399.964324716073
5,-3398.2649085590137
6,-3398.265660883728
7,-3398.1706911604197
8,-3398.179685585634
9,-3398.165052180063
10,-3397.755274099214
11,-3397.608877965524
12,-3397.5985785872076
13,-3397.2973190698176
14,-3398.3680829672626
15,-3398.3480093893445
16,-3398.3729722096114
17,-3398.390447140652
18,-3398.413063053423
19,-3398.4098441522974
20,-3397.8030724592886
21,-3397.800548980429
22,-3397.781361805233
23,-3398.222360044985
24,-3398.2301322421777
25,-3398.2191515969516
26,-3398.4715067773745
27,-3398.7790214130364
28,-3398.7815441349476
29,-3398.6915375002
30,-3398.7259307656573
31,-3398.725157574643
32,-3399.4712204442167
33,-3399.476662819893
34,-3398.3401197688117
35,-3397.637393648205
36,-3397.6377588292485
37,-3397.637807604477
38,-3397.170671486707
39,-3397.1722625281236
40,-3397.172731971056
41,-3397.1749356997543
42,-3397.361291684023
43,-3398.8916472873025
44,-3399.3046581561766
45,-3399.300809558316
46,-3399.301978420766
47,-3399.3038346648545
48,-3397.928283042792
49,-3397.9237964978256
50,-3397.915698909581
51,-3397.92080453134
52,-3397.9176561603963
53,-3397.9230086169814
54,-3397.8511078205042
55,-3397.8541191561935
56,-3397.932411685052
57,-3397.3551965239285
58,-3397.6786343764024
59,-3397.6462645602933
60,-3397.644809741619
61,-3397.8708128044987
62,-3397.8639451786594
63,-3397.862912469524
64,-3397.867329739989
65,-3397.864376531492
66,-3398.601115014594
67,-3398.588471290971
68,-3399.877433088341
69,-3399.8969673942893
70,-3399.9254764554553
71,-3399.6444291334265
72,-3398.7339430207257
73,-3400.5130678993573
74,-3400.23708233164
75,-3399.7132137431718
76,-3399.2073447226876
77,-3399.2055094234543
78,-3399.208183005347
79,-3399.811629966199
80,-3399.819238857486
81,-3399.8282720773504
82,-3399.457348972819
83,-3398.9383103246737
84,-3398.935411481407
85,-3401.2834672159725
86,-3401.2880508916733
87,-3398.9281920416597
88,-3398.9075894263497
89,-3398.9049701015
90,-3398.913803666667
91,-3399.0152589486056
92,-3398.4031407040698
93,-3398.404218489985
94,-3398.4030953127935
95,-3398.402692837278
96,-3398.4050299990377
97,-3398.406641927418
98,-3397.4196579920163
99,-3397.4198187040274
100,-3398.042999692544
101,-3398.046857518756
102,-3398.0451299399506
103,-3398.0497425057447
104,-3398.053697565312
105,-3399.427337717287
106,-3399.004551464255
107,-3399.0046797470336
108,-3399.102730733497
109,-3399.1059086297964
110,-3399.011628967098
111,-3399.2814824052507
112,-3399.718276163333
113,-3400.1055437546597
114,-3399.3672709945195
115,-3399.8292877527156
116,-3399.7153762651005
117,-3399.7128304016633
118,-3399.0714323957095
119,-3399.0637875801644
120,-3399.04780146599
121,-3399.049019704018
122,-3399.047906617544
123,-3397.6521301616754
124,-3398.268790807653
125,-3398.25795968669
126,-3397.8854095940324
127,-3397.7717968991087
128,-3397.763385893604
129,-3398.492159571772
130,-3397.938379293287
131,-3397.940757903825
132,-3397.933111826601
133,-3397.9244738565003
134,-3397.9353567555045
135,-3397.6096523074925
136,-3397.6193661736957
137,-3397.6060392842537
138,-3397.6179279114735
139,-3397.192455754682
140,-3397.427535904857
141,-3401.116251907936
142,-3401.086262443388
143,-3401.412514027335
144,-3401.450143260802
145,-3400.952392227884
146,-3401.167588015272
147,-3401.1670512241217
148,-3398.7481396679987
149,-3398.7514716846645
150,-3400.485751856633
151,-3400.4670791344743
152,-3398.8063263741947
153,-3398.4305352059478
154,-3398.4489128946125
155,-3398.8527581989038
156,-3399.3684311554402
157,-3399.123242453866
158,-3398.3888237094425
159,-3398.37044067601
160,-3398.9116504123185
161,-3398.8963882364574
162,-3398.639050846282
163,-3397.546684012738
164,-3397.5559941640568
165,-3397.9646690590416
166,-3397.9754510913854
167,-3398.7175162057356
