,C1_em,C0_em,a_gamma_em,b_gamma_em,std_em,met_input
0,1340360321.092,-3210251.014,1.926,41.343,93817.111,Rch_005
1,1340360321.092,-3210251.014,1.926,41.343,108405.579,Rch_005
2,1340360321.092,-3210251.014,1.926,41.343,114511.793,Rch_005
3,1340360321.092,-3210251.014,1.926,41.342,114511.793,Rch_005
4,1342826813.455,-3210251.014,1.926,41.342,114511.793,Rch_005
5,1342826813.455,-3210251.014,1.926,41.342,109410.070,Rch_005
6,1342826813.455,-3210251.014,1.926,41.342,109410.070,Rch_005
7,1342541835.239,-3210251.014,1.926,41.342,109410.070,Rch_005
8,1342541835.239,-3210251.014,1.926,41.339,109410.070,Rch_005
9,1342541835.239,-3210251.014,1.926,41.344,109410.070,Rch_005
10,1342541835.239,-3210251.014,1.926,41.344,107463.160,Rch_005
11,1342541835.239,-3213283.518,1.926,41.344,107463.160,Rch_005
12,1342541835.239,-3213283.518,1.926,41.349,107463.160,Rch_005
13,1342541835.239,-3213283.518,1.926,41.349,102068.186,Rch_005
14,1345013520.682,-3213283.518,1.926,41.349,102068.186,Rch_005
15,1345013520.682,-3213283.518,1.926,41.352,102068.186,Rch_005
16,1345013520.682,-3213283.518,1.926,41.348,102068.186,Rch_005
17,1345013520.682,-3213283.518,1.926,41.345,102068.186,Rch_005
18,1345013520.682,-3213283.518,1.926,41.342,102068.186,Rch_005
19,1345013520.682,-3213283.518,1.926,41.342,102068.186,Rch_005
20,1345013520.682,-3216940.732,1.926,41.342,102068.186,Rch_005
21,1345013520.682,-3216940.732,1.926,41.343,102068.186,Rch_005
22,1345013520.682,-3216940.732,1.926,41.347,102068.186,Rch_005
23,1345013520.682,-3216940.732,1.938,41.347,102068.186,Rch_005
24,1345013520.682,-3216940.732,1.938,41.351,102068.186,Rch_005
25,1345013520.682,-3216940.732,1.938,41.351,105636.474,Rch_005
26,1345013520.682,-3214014.617,1.938,41.351,105636.474,Rch_005
27,1345013520.682,-3214014.617,1.938,41.351,108034.238,Rch_005
28,1345013520.682,-3214014.617,1.938,41.354,108034.238,Rch_005
29,1341794905.578,-3214014.617,1.938,41.354,108034.238,Rch_005
30,1341794905.578,-3203051.248,1.938,41.354,108034.238,Rch_005
31,1341794905.578,-3203051.248,1.938,41.353,108034.238,Rch_005
32,1341794905.578,-3203051.248,1.943,41.353,108034.238,Rch_005
33,1341794905.578,-3203051.248,1.943,41.355,108034.238,Rch_005
34,1341794905.578,-3203051.248,1.927,41.355,108034.238,Rch_005
35,1338608326.990,-3203051.248,1.927,41.355,108034.238,Rch_005
36,1338608326.990,-3203051.248,1.927,41.354,108034.238,Rch_005
37,1338608326.990,-3203051.248,1.927,41.353,108034.238,Rch_005
38,1338608326.990,-3203051.248,1.927,41.353,103618.655,Rch_005
39,1338608326.990,-3203051.248,1.927,41.349,103618.655,Rch_005
40,1338608326.990,-3203051.248,1.927,41.348,103618.655,Rch_005
41,1338608326.990,-3203051.248,1.927,41.343,103618.655,Rch_005
42,1338608326.990,-3205534.806,1.927,41.343,103618.655,Rch_005
43,1338608326.990,-3205534.806,1.927,41.343,112029.172,Rch_005
44,1338608326.990,-3209027.775,1.927,41.343,112029.172,Rch_005
45,1338608326.990,-3209027.775,1.927,41.340,112029.172,Rch_005
46,1338608326.990,-3209027.775,1.927,41.341,112029.172,Rch_005
47,1338608326.990,-3209027.775,1.927,41.342,112029.172,Rch_005
48,1338608326.990,-3209027.775,1.927,41.342,105675.136,Rch_005
49,1338608326.990,-3209027.775,1.927,41.340,105675.136,Rch_005
50,1338608326.990,-3209027.775,1.927,41.335,105675.136,Rch_005
51,1338608326.990,-3209027.775,1.927,41.338,105675.136,Rch_005
52,1338608326.990,-3209027.775,1.927,41.338,101947.966,Rch_005
53,1338608326.990,-3209027.775,1.927,41.341,101947.966,Rch_005
54,1338608326.990,-3209027.775,1.927,41.341,103095.252,Rch_005
55,1338608326.990,-3209027.775,1.927,41.343,103095.252,Rch_005
56,1338608326.990,-3209027.775,1.927,41.343,101881.006,Rch_005
57,1338608326.990,-3196782.641,1.927,41.343,101881.006,Rch_005
