,0
0,-3414.5085767368137
1,-3418.367343458799
2,-3414.2816304420444
3,-3414.9958554953796
4,-3414.225654436801
5,-3414.179815851183
6,-3414.153484091007
7,-3414.656737067985
8,-3415.029036602435
9,-3415.0467294129535
10,-3414.766024916195
11,-3414.4564438433417
12,-3415.1898389355447
13,-3414.4734004291836
14,-3415.5837394546306
15,-3415.6606408771568
16,-3415.6002623163304
17,-3414.584099845207
18,-3414.6213493228443
19,-3414.607922529003
20,-3414.541780235393
21,-3414.35733829579
22,-3414.4638617836254
23,-3414.392379611002
24,-3414.569733012998
25,-3414.4818073898814
26,-3414.6437990940285
27,-3414.596595652065
28,-3414.8365294508503
29,-3414.9748784133953
30,-3414.621534606217
31,-3415.695596891524
32,-3415.808793067428
33,-3414.950555185201
34,-3415.0171426245533
35,-3415.1579523374144
36,-3415.432653611935
37,-3416.032069107587
38,-3416.6700554641575
39,-3416.163029939551
40,-3417.049206631448
41,-3417.064105796956
42,-3415.0227058695755
43,-3414.2299646687893
44,-3414.354201572508
45,-3414.3671390025306
46,-3414.4239170550836
47,-3414.653282374572
48,-3414.1808578631553
49,-3414.215390022029
50,-3414.274074102751
51,-3414.524883533376
52,-3414.8986720891317
53,-3415.771497545676
54,-3414.694995198288
55,-3416.017347956565
56,-3416.089090986183
57,-3414.273469363453
58,-3415.464869352115
59,-3415.6495725525847
60,-3417.3753085669077
61,-3416.9493739132477
62,-3415.782565798878
63,-3416.017351687049
64,-3418.2444420059364
65,-3417.0522832199727
66,-3415.9202667849618
67,-3415.0592126660326
68,-3415.200021651242
69,-3415.9890923746816
70,-3415.1173843302063
71,-3415.175296764959
72,-3414.998115951635
73,-3413.774179150628
74,-3414.6234485687946
75,-3414.079308317617
76,-3415.17485252213
77,-3417.5585600584272
78,-3417.4398768086025
79,-3418.4232066030554
80,-3417.5254874111647
81,-3418.069790696448
82,-3415.2978628608835
83,-3414.486491495113
84,-3414.229469876199
85,-3414.1477690694683
86,-3415.175259090731
87,-3415.0372663245716
88,-3415.2124074815893
89,-3415.1937435783802
90,-3415.583956068157
91,-3414.5133591142658
92,-3414.4178516725833
93,-3414.1855063483945
94,-3414.2029947744277
95,-3413.981357695622
96,-3413.9949187368247
97,-3413.971117733038
98,-3414.2173154877955
99,-3414.2599191893337
100,-3414.1717193833433
101,-3414.9928574288742
102,-3414.2554931849236
103,-3414.286356298113
104,-3414.5704972568865
105,-3414.5595852272963
106,-3415.5314899305004
107,-3415.617530482108
108,-3415.466471879805
109,-3414.1953676440226
110,-3414.0500798006574
111,-3414.741310562104
112,-3414.7357538228325
113,-3414.7631140238336
114,-3414.7210706022233
115,-3415.202880470676
116,-3415.4654110464217
117,-3415.1164997133264
118,-3415.3310040669585
119,-3415.4856008275856
120,-3415.9471598591367
121,-3415.5078021893823
122,-3415.0523395194023
123,-3416.5900457529824
124,-3416.9333365575667
125,-3416.870302320298
126,-3417.574224878684
127,-3419.045628410033
128,-3416.020981517924
129,-3418.5294958797244
130,-3416.317219071654
131,-3416.157926280095
132,-3415.3487914225852
133,-3415.29425126136
134,-3414.8873566940747
135,-3414.8867024680803
136,-3415.1648130369213
137,-3415.2038495452534
138,-3415.0769048360617
139,-3415.1102984974596
140,-3416.826329670014
141,-3415.566857061114
142,-3415.4048074375605
143,-3415.192870895286
144,-3415.271245212698
145,-3414.694447625923
146,-3414.6729741966838
147,-3414.4554070718873
148,-3414.4865612673148
149,-3414.5929949927427
150,-3414.5795378774196
151,-3414.633561238803
152,-3415.314729901664
153,-3415.2661383791865
154,-3416.435802841377
155,-3415.2410261940004
156,-3414.9124998347506
157,-3415.5096095726003
158,-3415.63383146827
159,-3415.6758099466624
160,-3415.6893148156546
161,-3414.2736340006127
162,-3414.174100050491
163,-3413.9758237569113
164,-3413.990045470021
165,-3414.345404653313
166,-3414.325202438869
167,-3414.6649553834295
168,-3414.0954727020544
169,-3414.1223782989573
170,-3414.1390885568744
171,-3414.784595020843
172,-3415.43558850459
173,-3414.706908307019
174,-3414.6817464718697
175,-3413.8718748849797
176,-3414.3223016304282
177,-3414.32379494617
178,-3414.3835617210193
179,-3414.408424717616
180,-3414.3765960994524
181,-3413.963089585949
182,-3414.0219847942094
183,-3414.199308607969
184,-3414.325394001574
185,-3414.293354401929
186,-3414.2660444282146
187,-3414.421984624625
188,-3414.527029443707
189,-3414.576979836708
190,-3416.090255570939
191,-3416.0945114329347
192,-3415.019541249271
193,-3414.449281830468
194,-3414.99948350811
195,-3414.5069081637284
196,-3414.1602086962343
197,-3413.8553780415423
198,-3413.8389529766255
199,-3414.074007378512
200,-3414.184174418407
201,-3413.9158318465484
202,-3415.560615513709
203,-3415.431291989053
204,-3415.9145221769404
205,-3416.0984363947728
206,-3414.5252939408483
207,-3414.727441912421
208,-3415.5904247583226
209,-3414.9103485184196
210,-3414.76019304495
211,-3414.9502453697264
212,-3414.6572686468603
213,-3414.4219668288574
214,-3414.597487513692
215,-3414.459138053372
216,-3415.0621533911117
217,-3415.0755896578175
218,-3414.6946964840645
219,-3414.901348098989
220,-3414.742934317671
221,-3414.747927705045
222,-3414.4536430551134
223,-3415.1227312179117
224,-3417.1255654239017
225,-3417.124056855827
226,-3417.131854095119
227,-3417.1727701160894
228,-3417.4639874077016
229,-3415.5731738271193
230,-3416.484497728453
231,-3415.5706471186104
232,-3414.3869334790866
233,-3415.3227030210237
234,-3416.337146444366
235,-3415.3653013557314
236,-3415.2700462778103
237,-3415.7354368751485
238,-3414.8446262537323
239,-3415.008173567765
240,-3415.2284792220526
241,-3414.875937064437
242,-3414.0839983362403
243,-3414.652259410628
244,-3416.4851965845933
245,-3415.648760499669
246,-3415.5979910942033
247,-3416.0237098508974
248,-3414.303833438134
249,-3414.8252739222885
250,-3414.536446068316
251,-3414.7216865425285
252,-3414.616123848178
253,-3414.604983050435
254,-3414.6522989755913
255,-3414.6104623388305
256,-3414.327676990617
257,-3417.0194413795334
258,-3416.104732475429
259,-3414.7738219067887
260,-3416.1653685163556
261,-3416.1979106764456
262,-3415.7130530634536
263,-3416.2197771892625
264,-3415.700944045103
265,-3415.6327292038004
266,-3415.7689374414476
267,-3416.5437784259407
268,-3416.731229362511
269,-3417.5707872849584
270,-3417.968056419246
271,-3417.748169304557
272,-3418.0690820353093
273,-3417.3318025260182
274,-3417.2567809566813
275,-3416.7416936292043
276,-3418.0261482021574
277,-3415.7366222477986
278,-3416.0373809745533
279,-3416.143323567602
280,-3416.32308422792
281,-3415.8762289927977
282,-3416.0796145848044
283,-3415.8690449706637
284,-3415.6130385168453
285,-3416.0978638809684
286,-3416.2024313309616
287,-3416.3599858256493
288,-3416.1039221281385
289,-3415.7594781868097
290,-3415.2012477504773
291,-3416.303732944844
292,-3416.580906960736
293,-3415.821615722578
294,-3415.0984927815966
295,-3415.2922586145864
296,-3415.339963731878
297,-3414.681832268731
298,-3414.684619570334
299,-3415.0689345350115
300,-3414.9056777832257
301,-3415.1566746799417
302,-3414.9388382888937
303,-3414.7562974242373
304,-3414.4332369372632
305,-3414.5791415783433
306,-3416.1084149932153
307,-3415.084298017762
308,-3414.9931926912413
309,-3414.8284556875046
310,-3415.2941812613444
311,-3415.2704714175097
312,-3414.9446665064993
313,-3415.182071829207
314,-3415.634898064245
315,-3415.328997513634
316,-3415.3900014586184
317,-3416.2153789719005
318,-3414.9173940391893
319,-3414.883272906329
320,-3414.4766533175175
321,-3414.437723987879
322,-3414.4715980074056
323,-3415.16620190234
324,-3414.5786606672905
325,-3414.6319358008095
326,-3414.4395671848747
327,-3414.8959792516425
328,-3414.855116802262
329,-3414.6875257982356
330,-3414.821554273558
331,-3414.9910667864187
332,-3414.9572490039677
333,-3414.820557622196
334,-3414.5910049084137
335,-3414.6024130387514
336,-3414.8210960760734
337,-3415.9245183024186
338,-3415.8758815879023
339,-3416.3959071518107
340,-3416.335531470463
341,-3416.6549981642765
342,-3416.8385842013736
343,-3416.099836231003
344,-3415.4936109789264
345,-3416.26737818077
346,-3416.28714803123
347,-3415.820241640683
348,-3416.88233409079
349,-3416.7815891364
350,-3417.252539307511
351,-3416.6958160382865
