,C1_lm,a_gamma_lm,b_gamma_lm,coef_flow,beta,const_flow,stage_flow,std_lm,met_input
0,29691333.487,1.000,36.620,-6426.902,1.186,-38320.523,15.500,108283.609,Rch_000
1,29813193.638,1.000,36.620,-6426.902,1.186,-38320.523,15.500,108283.609,Rch_000
2,29813193.638,1.000,36.620,-6463.634,1.186,-38320.523,15.500,108283.609,Rch_000
3,29813193.638,1.000,36.620,-6463.634,1.186,-38320.523,15.500,116915.819,Rch_000
4,29813193.638,1.000,36.620,-6463.634,1.186,-38320.523,15.500,108970.864,Rch_000
5,29813193.638,1.000,36.870,-6463.634,1.186,-38320.523,15.500,108970.864,Rch_000
6,29813193.638,1.000,36.870,-6463.634,1.186,-38320.523,15.500,111403.304,Rch_000
7,29813193.638,1.000,36.870,-6463.634,1.186,-38320.523,15.500,115552.333,Rch_000
8,29813193.638,1.000,36.870,-6475.827,1.186,-38320.523,15.500,115552.333,Rch_000
9,29813193.638,1.000,36.870,-6475.827,1.186,-38320.523,15.500,105908.238,Rch_000
10,29813193.638,1.000,36.870,-6475.827,1.186,-38320.523,15.500,113925.441,Rch_000
11,29813193.638,1.000,36.870,-6456.820,1.186,-38320.523,15.500,113925.441,Rch_000
12,29813193.638,1.000,36.870,-6456.820,1.185,-38320.523,15.500,113925.441,Rch_000
13,29813193.638,1.000,36.870,-6472.534,1.185,-38320.523,15.500,113925.441,Rch_000
14,29813193.638,1.000,36.870,-6472.534,1.184,-38320.523,15.500,113925.441,Rch_000
15,29813193.638,1.000,36.870,-6471.736,1.184,-38320.523,15.500,113925.441,Rch_000
16,29813193.638,1.000,36.870,-6471.736,1.184,-38320.523,15.500,113355.555,Rch_000
17,29813193.638,1.000,36.870,-6499.184,1.184,-38320.523,15.500,113355.555,Rch_000
18,29813193.638,1.000,36.870,-6499.184,1.184,-38320.523,15.500,107567.866,Rch_000
19,29813193.638,1.000,36.611,-6499.184,1.184,-38320.523,15.500,107567.866,Rch_000
20,29813193.638,1.000,36.611,-6499.184,1.184,-38320.523,15.500,111224.736,Rch_000
21,29813193.638,1.000,36.611,-6499.184,1.183,-38320.523,15.500,111224.736,Rch_000
22,29813193.638,1.000,36.611,-6504.056,1.183,-38320.523,15.500,111224.736,Rch_000
23,29813193.638,1.000,36.970,-6504.056,1.183,-38320.523,15.500,111224.736,Rch_000
24,29813193.638,1.000,36.970,-6498.533,1.183,-38320.523,15.500,111224.736,Rch_000
25,29796682.533,1.000,36.970,-6498.533,1.183,-38320.523,15.500,111224.736,Rch_000
26,29839679.944,1.000,36.970,-6498.533,1.183,-38320.523,15.500,111224.736,Rch_000
27,29839679.944,1.000,36.970,-6498.533,1.183,-38320.523,15.500,114109.196,Rch_000
28,29839679.944,1.000,36.970,-6498.533,1.185,-38320.523,15.500,114109.196,Rch_000
29,29839679.944,1.000,36.970,-6491.567,1.185,-38320.523,15.500,114109.196,Rch_000
30,29839679.944,1.000,37.403,-6491.567,1.185,-38320.523,15.500,114109.196,Rch_000
31,29839679.944,1.000,37.434,-6491.567,1.185,-38320.523,15.500,114109.196,Rch_000
32,29839679.944,1.000,37.434,-6491.567,1.185,-38088.065,15.500,114109.196,Rch_000
33,29839679.944,1.000,37.434,-6489.346,1.185,-38088.065,15.500,114109.196,Rch_000
34,29839679.944,1.000,37.519,-6489.346,1.185,-38088.065,15.500,114109.196,Rch_000
35,29839679.944,1.000,37.519,-6489.346,1.185,-38088.065,15.500,106084.621,Rch_000
36,29839679.944,1.000,37.519,-6479.085,1.185,-38088.065,15.500,106084.621,Rch_000
37,29839679.944,1.000,37.519,-6518.642,1.185,-38088.065,15.500,106084.621,Rch_000
38,29839679.944,1.000,37.519,-6518.642,1.185,-38088.065,15.500,113478.292,Rch_000
39,29839679.944,1.000,37.519,-6526.143,1.185,-38088.065,15.500,113478.292,Rch_000
40,29839679.944,1.000,37.519,-6526.143,1.185,-38088.065,15.500,109656.314,Rch_000
41,29839679.944,1.000,37.010,-6526.143,1.185,-38088.065,15.500,109656.314,Rch_000
42,29839679.944,1.000,37.010,-6496.067,1.185,-38088.065,15.500,109656.314,Rch_000
43,29839679.944,1.000,37.010,-6496.067,1.185,-38088.065,15.500,107970.962,Rch_000
44,29839679.944,1.000,37.116,-6496.067,1.185,-38088.065,15.500,107970.962,Rch_000
45,29839679.944,1.000,37.200,-6496.067,1.185,-38088.065,15.500,107970.962,Rch_000
46,29839679.944,1.000,36.721,-6496.067,1.185,-38088.065,15.500,107970.962,Rch_000
47,29839679.944,1.000,36.721,-6517.089,1.185,-38088.065,15.500,107970.962,Rch_000
48,29839679.944,1.000,36.721,-6517.089,1.185,-38088.065,15.500,107676.124,Rch_000
49,29839679.944,1.000,36.560,-6517.089,1.185,-38088.065,15.500,107676.124,Rch_000
50,29839679.944,1.000,36.560,-6517.089,1.186,-38088.065,15.500,107676.124,Rch_000
51,29839679.944,1.000,36.560,-6489.192,1.186,-38088.065,15.500,107676.124,Rch_000
52,29862276.405,1.000,36.560,-6489.192,1.186,-38088.065,15.500,107676.124,Rch_000
53,29862276.405,1.000,37.025,-6489.192,1.186,-38088.065,15.500,107676.124,Rch_000
54,29862276.405,1.000,37.025,-6489.192,1.186,-37957.361,15.500,107676.124,Rch_000
55,29862276.405,1.000,37.025,-6489.192,1.186,-37957.361,15.500,115210.122,Rch_000
56,29862276.405,1.000,37.025,-6517.970,1.186,-37957.361,15.500,115210.122,Rch_000
57,29862276.405,1.000,37.025,-6517.970,1.186,-37957.361,15.500,119731.545,Rch_000
58,29862276.405,1.000,36.648,-6517.970,1.186,-37957.361,15.500,119731.545,Rch_000
59,29862276.405,1.000,36.050,-6517.970,1.186,-37957.361,15.500,119731.545,Rch_000
60,29846003.313,1.000,36.050,-6517.970,1.186,-37957.361,15.500,119731.545,Rch_000
61,29846003.313,1.000,36.470,-6517.970,1.186,-37957.361,15.500,119731.545,Rch_000
62,29864542.658,1.000,36.470,-6517.970,1.186,-37957.361,15.500,119731.545,Rch_000
63,29864542.658,1.000,35.887,-6517.970,1.186,-37957.361,15.500,119731.545,Rch_000
64,29864542.658,1.000,35.887,-6517.970,1.186,-37957.361,15.500,112845.572,Rch_000
65,29864542.658,1.000,35.887,-6517.970,1.188,-37957.361,15.500,112845.572,Rch_000
66,29864542.658,1.000,36.226,-6517.970,1.188,-37957.361,15.500,112845.572,Rch_000
67,29864542.658,1.000,36.226,-6520.164,1.188,-37957.361,15.500,112845.572,Rch_000
68,29864542.658,1.000,36.226,-6520.164,1.188,-37957.361,15.500,117557.990,Rch_000
69,29864542.658,1.000,36.226,-6520.164,1.188,-37957.361,15.500,110693.282,Rch_000
70,29864542.658,1.000,36.226,-6520.164,1.186,-37957.361,15.500,110693.282,Rch_000
71,29857638.867,1.000,36.226,-6520.164,1.186,-37957.361,15.500,110693.282,Rch_000
72,29857638.867,1.000,36.911,-6520.164,1.186,-37957.361,15.500,110693.282,Rch_000
73,29857638.867,1.000,36.334,-6520.164,1.186,-37957.361,15.500,110693.282,Rch_000
74,29857638.867,1.000,36.551,-6520.164,1.186,-37957.361,15.500,110693.282,Rch_000
75,29857638.867,1.000,36.551,-6520.164,1.186,-37957.361,15.500,103625.701,Rch_000
76,29857638.867,1.000,36.551,-6520.164,1.186,-37957.361,15.500,98803.516,Rch_000
77,29857638.867,1.000,36.606,-6520.164,1.186,-37957.361,15.500,98803.516,Rch_000
78,29857638.867,1.000,36.606,-6520.164,1.186,-38186.776,15.500,98803.516,Rch_000
79,29857638.867,1.000,36.606,-6502.034,1.186,-38186.776,15.500,98803.516,Rch_000
80,29857638.867,1.000,36.606,-6516.275,1.186,-38186.776,15.500,98803.516,Rch_000
81,29857638.867,1.000,36.606,-6516.275,1.186,-38186.776,15.500,104695.386,Rch_000
82,29857638.867,1.000,36.606,-6516.275,1.186,-38186.776,15.500,110484.602,Rch_000
83,29857638.867,1.000,36.606,-6493.939,1.186,-38186.776,15.500,110484.602,Rch_000
