,0
0.000,-267462.897
0.005,-236403.661
0.010,-229654.534
0.015,-225160.104
0.020,-220926.151
0.025,-217183.686
0.030,-213785.243
0.035,-210606.249
0.040,-207253.463
0.045,-203998.388
0.050,-200957.064
0.055,-197825.212
0.060,-194929.160
0.065,-192331.117
0.070,-189661.912
0.075,-186845.671
0.080,-183950.587
0.085,-180871.039
0.090,-177304.242
0.095,-172015.972
0.100,-165935.684
0.105,-159857.787
0.110,-154778.006
0.115,-149906.544
0.120,-144845.050
0.125,-140600.024
0.130,-135665.809
0.135,-131757.764
0.140,-127427.269
0.145,-122696.767
0.150,-117855.075
0.155,-113875.426
0.160,-109300.815
0.165,-106013.710
0.170,-103068.387
0.175,-100311.673
0.180,-97591.861
0.185,-94623.377
0.190,-91939.377
0.195,-88524.514
0.200,-84736.344
0.205,-80252.022
0.210,-75806.138
0.215,-71508.631
0.220,-66534.926
0.225,-60510.574
0.230,-52296.809
0.235,-46882.379
0.240,-45891.299
0.245,-43799.029
0.250,-42807.550
0.255,-42109.994
0.260,-40422.168
0.265,-37274.602
0.270,-33803.724
0.275,-31879.169
0.280,-29248.135
0.285,-26563.110
0.290,-24510.343
0.295,-22849.909
0.300,-21332.613
0.305,-19631.901
0.310,-18139.369
0.315,-16882.314
0.320,-15579.601
0.325,-14232.467
0.330,-13079.554
0.335,-11796.399
0.340,-10621.825
0.345,-9494.077
0.350,-8598.369
0.355,-7494.265
0.360,-6483.327
0.365,-5567.208
0.370,-4539.040
0.375,-3535.181
0.380,-2607.963
0.385,-1764.646
0.390,-845.183
0.395,165.456
0.400,1176.991
0.405,2122.290
0.410,3018.861
0.415,3863.048
0.420,4796.211
0.425,5558.550
0.430,6428.629
0.435,7315.687
0.440,8173.718
0.445,9098.352
0.450,10014.623
0.455,10864.084
0.460,11679.932
0.465,12662.465
0.470,13653.450
0.475,14637.486
0.480,15678.709
0.485,16782.215
0.490,17803.280
0.495,18984.438
0.500,20260.560
0.505,21456.031
0.510,22630.170
0.515,23898.932
0.520,25085.820
0.525,26573.412
0.530,28009.152
0.535,29604.828
0.540,31415.487
0.545,33358.827
0.550,35467.663
0.555,37858.932
0.560,40183.623
0.565,42716.750
0.570,44838.868
0.575,46682.518
0.580,48611.903
0.585,50474.777
0.590,52652.446
0.595,54790.292
0.600,56754.195
0.605,58621.432
0.610,60452.278
0.615,62253.302
0.620,64048.994
0.625,65610.964
0.630,67308.311
0.635,68874.575
0.640,70096.048
0.645,71637.293
0.650,72772.790
0.655,74049.597
0.660,75424.119
0.665,76668.621
0.670,78073.581
0.675,79192.260
0.680,80578.349
0.685,81942.681
0.690,83227.207
0.695,84436.144
0.700,85925.786
0.705,87251.205
0.710,88464.617
0.715,89769.421
0.720,91111.677
0.725,92535.721
0.730,93957.046
0.735,95353.884
0.740,96786.274
0.745,98255.895
0.750,99688.147
0.755,101116.941
0.760,102594.843
0.765,104186.315
0.770,105582.184
0.775,106779.761
0.780,107976.213
0.785,109137.376
0.790,110164.122
0.795,111310.293
0.800,112444.925
0.805,113662.965
0.810,114863.051
0.815,116167.923
0.820,117541.662
0.825,119077.402
0.830,120555.373
0.835,122220.202
0.840,123942.217
0.845,125656.391
0.850,127279.000
0.855,128793.154
0.860,130102.428
0.865,131539.221
0.870,132874.459
0.875,134033.331
0.880,135114.150
0.885,136108.700
0.890,137187.398
0.895,138249.733
0.900,139307.974
0.905,140390.241
0.910,141485.784
0.915,142542.164
0.920,143625.828
0.925,144882.911
0.930,146097.725
0.935,147124.363
0.940,148290.727
0.945,149431.351
0.950,150676.459
0.955,151910.475
0.960,153314.109
0.965,154784.253
0.970,156348.348
0.975,158088.279
0.980,160015.538
0.985,161936.337
0.990,164296.845
0.995,168184.867
1.000,187260.898
